Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,102.830002,103.529999,102.230003,102.260002,90.407814,4016000
2017-05-01,102.650002,102.989998,101.410004,102.000000,90.177940,4512100
2017-05-02,102.269997,102.709999,101.250000,101.510002,89.744743,4516400
2017-05-03,101.040001,102.169998,100.779999,101.540001,89.771263,4278400
2017-05-04,101.440002,101.500000,98.639999,99.389999,87.870445,7271600
2017-05-05,99.500000,99.989998,99.019997,99.639999,88.091476,4086800
2017-05-08,99.480003,100.099998,98.940002,99.370003,87.852776,5094600
2017-05-09,99.720001,100.209999,99.250000,99.290001,87.782036,9742000
2017-05-10,99.720001,100.709999,99.300003,100.360001,88.728020,4696700
2017-05-11,101.900002,101.919998,100.150002,100.989998,89.285019,5220300
2017-05-12,100.589996,100.949997,100.169998,100.709999,89.037445,4112000
2017-05-15,101.589996,102.559998,101.410004,102.419998,90.549263,3756100
2017-05-16,102.750000,102.800003,101.269997,102.339996,90.478539,3115900
2017-05-17,102.339996,102.339996,99.889999,100.139999,88.533508,4618500
2017-05-18,99.139999,100.669998,97.739998,100.220001,88.604263,5931500
2017-05-19,101.570000,102.860001,101.269997,102.430000,90.558113,4636500
2017-05-22,102.669998,103.050003,101.809998,102.290001,90.434334,4376300
2017-05-23,102.300003,103.750000,102.059998,103.629997,91.619011,3327200
2017-05-24,103.330002,104.910004,103.150002,103.949997,91.901924,5170900
2017-05-25,104.449997,105.940002,104.239998,105.019997,92.847908,5220000
2017-05-26,105.000000,105.709999,104.620003,105.660004,93.413757,2894100
2017-05-30,105.260002,105.860001,105.010002,105.470001,93.245758,3211700
2017-05-31,105.250000,105.760002,103.599998,105.430000,93.210403,4131400
2017-06-01,105.769997,106.430000,105.160004,105.650002,93.404900,4211300
2017-06-02,105.669998,106.760002,105.180000,105.949997,93.670135,3702800
2017-06-05,105.580002,107.169998,105.139999,105.199997,93.007065,4319500
2017-06-06,104.790001,105.519997,104.059998,104.550003,92.432396,3800200
2017-06-07,104.300003,104.690002,102.449997,103.510002,91.512947,5121700
2017-06-08,103.510002,105.389999,103.510002,105.010002,92.839081,4649300
2017-06-09,105.089996,107.019997,105.029999,105.919998,93.643600,3881000
2017-06-12,105.919998,106.349998,104.900002,106.070000,93.776245,4167400
2017-06-13,106.180000,106.660004,105.510002,105.750000,93.493324,3522700
2017-06-14,105.800003,105.989998,103.989998,104.709999,92.573845,4100200
2017-06-15,103.800003,106.639999,103.800003,106.400002,94.067986,5974100
2017-06-16,106.760002,107.910004,106.400002,107.599998,95.128906,7350400
2017-06-19,107.949997,108.040001,106.669998,107.489998,95.031639,4347600
2017-06-20,108.059998,108.180000,106.919998,107.040001,94.633804,5314100
2017-06-21,106.629997,106.760002,103.150002,103.470001,91.477562,6274100
2017-06-22,103.570000,104.660004,103.489998,103.839996,91.804688,3652500
2017-06-23,102.500000,104.269997,102.300003,104.110001,92.043381,12089800
2017-06-26,104.660004,105.629997,103.440002,104.250000,92.167152,2857700
2017-06-27,104.500000,105.230003,103.690002,103.930000,91.884254,3380700
2017-06-28,104.849998,106.629997,104.760002,106.449997,94.112167,4118300
2017-06-29,106.449997,106.970001,104.809998,105.639999,93.396042,3550000
2017-06-30,106.099998,108.040001,105.830002,107.459999,95.005119,4702100
2017-07-03,106.510002,107.839996,106.480003,106.970001,94.571915,2404900
2017-07-05,107.000000,107.879997,106.650002,107.489998,95.031639,3483600
2017-07-06,107.230003,107.889999,106.300003,106.510002,94.165237,2921700
2017-07-07,106.610001,107.580002,105.849998,106.919998,94.527702,2767900
2017-07-10,106.730003,108.489998,106.239998,107.839996,95.341087,2951500
2017-07-11,107.910004,108.470001,107.050003,108.239998,95.694710,2559900
2017-07-12,108.919998,110.000000,108.839996,108.959999,96.331261,3611600
2017-07-13,108.889999,109.250000,107.970001,108.470001,95.898056,3051100
2017-07-14,108.550003,109.360001,108.050003,108.769997,96.163277,4480200
2017-07-17,108.000000,109.379997,107.980003,108.839996,96.225166,2969500
2017-07-18,108.220001,108.220001,106.570000,107.070000,95.343605,3984400
2017-07-19,107.300003,108.000000,107.139999,107.849998,96.038170,2857900
2017-07-20,107.879997,108.150002,107.059998,107.320000,95.566231,3759700
2017-07-21,106.709999,106.949997,105.110001,106.589996,94.916168,4258100
2017-07-24,107.860001,108.500000,107.290001,108.180000,96.332031,5980400
2017-07-25,113.239998,114.889999,111.800003,114.540001,101.995476,14264600
2017-07-26,114.250000,114.540001,113.080002,113.519997,101.087189,5741200
2017-07-27,113.720001,114.389999,113.250000,114.370003,101.844093,5583500
2017-07-28,114.449997,114.900002,113.480003,114.099998,101.603668,4704500
2017-07-31,114.500000,114.660004,113.690002,113.949997,101.470100,4477200
2017-08-01,114.269997,114.430000,112.519997,113.099998,100.713188,3683700
2017-08-02,113.150002,113.580002,112.089996,113.089996,100.704277,2830600
2017-08-03,112.849998,113.720001,112.849998,113.559998,101.122795,2438900
2017-08-04,113.879997,114.639999,113.449997,114.349998,101.826279,2631900
2017-08-07,114.480003,114.989998,114.300003,114.709999,102.146873,2269400
2017-08-08,114.589996,115.250000,114.190002,114.410004,101.879707,2601200
2017-08-09,114.389999,115.459999,114.110001,114.339996,101.817368,3170100
2017-08-10,113.889999,114.129997,112.860001,113.150002,100.757713,3186700
2017-08-11,113.070000,113.669998,112.750000,112.849998,100.490555,2130300
2017-08-14,113.459999,114.370003,113.269997,113.709999,101.256371,1968900
2017-08-15,114.000000,114.230003,113.320000,113.650002,101.202957,2826800
2017-08-16,113.809998,114.510002,113.629997,114.120003,101.621483,2268600
2017-08-17,114.000000,114.370003,113.139999,113.139999,100.748802,2905100
2017-08-18,112.989998,114.639999,112.690002,113.919998,101.443382,3875700
2017-08-21,113.750000,114.089996,113.269997,113.599998,101.158432,3137400
2017-08-22,114.209999,115.860001,114.000000,115.820000,103.135292,3881100
2017-08-23,115.000000,115.379997,114.750000,114.750000,102.182480,2447600
2017-08-24,115.000000,115.050003,114.389999,114.779999,102.209190,1861200
2017-08-25,115.470001,116.639999,115.150002,115.349998,102.716751,3282200
2017-08-28,115.760002,116.059998,114.660004,115.070000,102.467445,2011000
2017-08-29,114.379997,116.599998,114.300003,116.010002,103.304489,4355700
2017-08-30,116.120003,117.690002,115.879997,117.550003,104.675835,3401000
2017-08-31,117.949997,118.830002,117.349998,117.489998,104.622398,3357700
2017-09-01,117.489998,118.820000,117.400002,118.279999,105.325859,2992200
2017-09-05,118.139999,119.129997,117.820000,118.300003,105.343674,3826800
2017-09-06,118.750000,119.190002,116.980003,116.980003,104.168236,4292600
2017-09-07,117.379997,117.930000,116.500000,117.769997,104.871727,3270100
2017-09-08,117.230003,118.849998,117.000000,117.820000,104.916267,2787000
2017-09-11,118.820000,118.919998,117.470001,118.870003,105.851250,3527500
2017-09-12,119.190002,121.389999,119.059998,120.940002,107.694550,5554000
2017-09-13,120.500000,121.000000,119.410004,119.629997,106.528000,2532200
2017-09-14,119.790001,120.790001,119.209999,120.480003,107.284920,2904900
2017-09-15,121.010002,121.570000,120.309998,121.370003,108.077454,4610100
2017-09-18,123.620003,124.430000,122.849998,123.830002,110.268028,4349000
2017-09-19,123.959999,124.930000,123.760002,124.739998,111.078369,3050000
2017-09-20,124.970001,125.279999,124.180000,124.849998,111.176315,3151600
2017-09-21,124.519997,125.040001,123.820000,124.790001,111.122910,2615400
2017-09-22,124.580002,125.419998,124.349998,124.430000,110.802315,2616700
2017-09-25,124.370003,124.779999,123.650002,124.320000,110.704361,3268500
2017-09-26,124.699997,125.070000,124.320000,124.510002,110.873543,2301900
2017-09-27,125.209999,125.419998,124.339996,124.519997,110.882446,2140600
2017-09-28,123.910004,125.279999,123.620003,125.230003,111.514694,2067800
2017-09-29,125.349998,125.550003,124.510002,124.709999,111.051651,2273500
2017-10-02,124.400002,124.830002,123.949997,124.720001,111.060555,2502600
2017-10-03,124.980003,125.529999,124.349998,125.510002,111.764023,2166100
