Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,87.519997,87.589996,87.150002,87.330002,76.082771,8295400
2017-05-01,87.379997,87.599998,87.080002,87.089996,75.873665,4546600
2017-05-02,87.290001,87.290001,86.019997,86.220001,75.115730,13197500
2017-05-03,86.300003,86.629997,85.900002,86.430000,75.298660,6122000
2017-05-04,86.849998,87.239998,86.300003,86.449997,75.316101,5986200
2017-05-05,86.540001,86.610001,86.129997,86.500000,75.359673,4506200
2017-05-08,86.330002,86.620003,86.239998,86.550003,75.403221,4634600
2017-05-09,86.800003,86.820000,86.220001,86.400002,75.272545,9577600
2017-05-10,86.480003,86.790001,86.389999,86.489998,75.350952,6178500
2017-05-11,86.610001,86.629997,85.879997,86.169998,75.072159,6064700
2017-05-12,86.239998,86.320000,85.919998,86.190002,75.089600,5892400
2017-05-15,86.650002,86.709999,86.250000,86.330002,75.211578,5820700
2017-05-16,86.879997,87.000000,86.190002,86.239998,75.133156,6554500
2017-05-17,86.239998,86.629997,85.930000,86.260002,75.150574,7805800
2017-05-18,86.180000,86.220001,85.519997,85.870003,74.810799,6985600
2017-05-19,86.000000,86.379997,85.669998,86.239998,75.133156,7320700
2017-05-22,86.250000,86.400002,86.029999,86.209999,75.107018,4260000
2017-05-23,86.279999,86.540001,85.980003,86.080002,74.993767,4394200
2017-05-24,86.449997,86.650002,86.209999,86.500000,75.359673,4878800
2017-05-25,86.580002,86.980003,86.550003,86.860001,75.673294,4368000
2017-05-26,86.930000,87.379997,86.820000,87.250000,76.013054,4337000
2017-05-30,87.250000,87.610001,87.099998,87.400002,76.143761,4594500
2017-05-31,87.669998,88.349998,87.449997,88.089996,76.744888,10146600
2017-06-01,88.019997,88.139999,87.370003,88.129997,76.779747,6251300
2017-06-02,88.400002,88.680000,88.010002,88.589996,77.180489,6136400
2017-06-05,88.300003,88.760002,88.000000,88.739998,77.311172,4115300
2017-06-06,88.760002,88.970001,88.449997,88.800003,77.363441,6503000
2017-06-07,88.680000,88.889999,88.400002,88.769997,77.337303,4781600
2017-06-08,88.769997,88.800003,87.360001,87.849998,76.535805,7712100
